"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"809",0,1.15994272784897,0.998,0.967,0,"5","RPL12"
"810",0,1.15392113155605,0.892,0.55,0,"5","PTN"
"811",0,1.14792296113127,0.713,0.289,0,"5","MEST"
"812",0,1.13602212177209,0.466,0.002,0,"5","CYTL1"
"813",0,1.12812636529747,0.846,0.276,0,"5","LAPTM4A"
"814",0,1.1261689757109,0.957,0.606,0,"5","PPIB"
"815",0,1.12367303981471,0.789,0.199,0,"5","ZFP36L1"
"816",0,1.12354708677263,0.87,0.514,0,"5","HSPA5"
"817",0,1.12339627737087,0.661,0.052,0,"5","LAMB1"
"818",0,1.1115576816674,0.688,0.057,0,"5","LGALS3"
"819",0,1.09888302602583,1,0.978,0,"5","RPL10A"
"820",0,1.09722156890101,0.726,0.095,0,"5","SERPINH1"
"821",0,1.095999764674,0.551,0.002,0,"5","IGF2.1"
"822",0,1.08642538259176,1,1,0,"5","RPL13"
"823",0,1.07677482572318,0.635,0.056,0,"5","FKBP5"
"824",0,1.07624639838994,0.739,0.175,0,"5","LMNA"
"825",0,1.07113860634053,0.775,0.316,0,"5","P4HB"
"826",0,1.06857303175738,0.806,0.271,0,"5","OSTC"
"827",0,1.05758955066443,0.589,0.116,0,"5","SVIL"
"828",0,1.05579350886138,0.546,0.025,0,"5","EMP1"
"829",0,1.05018975882991,0.834,0.417,0,"5","KCNQ1OT1"
"830",0,1.04023292611277,0.281,0.005,0,"5","IGFBP3"
"831",0,1.03089294028089,0.666,0.061,0,"5","COL5A2"
"832",0,1.03014337844536,1,1,0,"5","RPS8"
"833",0,1.02776991954336,1,0.999,0,"5","RPLP1"
"834",0,1.02636025717322,0.511,0.035,0,"5","TCIM"
"835",0,1.02226059120477,0.405,0.011,0,"5","MSX1"
"836",0,1.0214994372012,1,0.99,0,"5","RPS3"
"837",0,1.02002589302099,0.661,0.133,0,"5","NPC2"
"838",0,1.01718530033553,0.618,0.016,0,"5","COL5A1"
"839",0,1.01592632231616,0.444,0.061,0,"5","IER3"
"840",0,1.01302676582232,1,1,0,"5","RPL41"
"841",0,1.00582661821006,0.573,0.026,0,"5","PCOLCE"
"842",0,1.00516316886402,0.546,0.257,0,"5","IGFBP5"
"843",0,0.999633419672532,0.625,0.043,0,"5","EVA1B"
"844",0,0.999570124605437,0.515,0.152,0,"5","ATP1A2"
"845",0,0.998455770941664,0.795,0.235,0,"5","B2M"
"846",0,0.996421484691497,0.505,0.008,0,"5","NPW"
"847",0,0.982041368883825,0.553,0.092,0,"5","NBL1"
"848",0,0.977760691358546,0.668,0.123,0,"5","GNG11"
"849",0,0.97135125108198,0.572,0.131,0,"5","FOSB"
"850",0,0.967420828817366,0.861,0.518,0,"5","CPE"
"851",0,0.962372839751809,0.893,0.534,0,"5","CALR"
"852",0,0.960974489782715,0.502,0.007,0,"5","COLEC12"
"853",0,0.95837872749275,0.665,0.125,0,"5","RRBP1"
"854",0,0.957677497865726,1,0.997,0,"5","RPL28"
"855",0,0.956501334586306,0.999,0.985,0,"5","RPS9"
"856",0,0.950515831895272,0.999,0.983,0,"5","RPL26"
"857",0,0.946113461764896,0.793,0.255,0,"5","ANXA5"
"858",0,0.939068267145803,1,1,0,"5","RPS27"
"859",0,0.936194174785295,0.485,0.019,0,"5","CEBPD"
"860",0,0.936076813257974,0.595,0.024,0,"5","AHNAK"
"861",0,0.935633522845074,0.994,0.875,0,"5","SERF2"
"862",0,0.916175171039063,0.578,0.04,0,"5","IFI16"
"863",0,0.915278697661728,1,0.999,0,"5","RPL15"
"864",0,0.913409407869339,0.671,0.1,0,"5","EMP3"
"865",0,0.905699094104769,0.492,0.016,0,"5","PDGFRA"
"866",0,0.900616157115447,0.897,0.514,0,"5","PDIA6"
"867",0,0.899704752470674,0.999,0.993,0,"5","RPS16"
"868",0,0.898896613611377,1,0.999,0,"5","RPL37"
"869",0,0.896265905535893,0.639,0.162,0,"5","SEMA5A"
"870",0,0.894397807497964,0.502,0.048,0,"5","GJA1"
"871",0,0.893917505409913,0.622,0.084,0,"5","FSTL1"
"872",0,0.890899653193278,0.57,0.129,0,"5","TNC"
"873",0,0.88241452179584,0.999,0.999,0,"5","RPS24"
"874",0,0.881687752630533,1,0.999,0,"5","RPS14"
"875",0,0.88070497614073,0.752,0.364,0,"5","SSR3"
"876",0,0.875001207398869,1,1,0,"5","EEF1A1"
"877",0,0.87408311371229,0.4,0.063,0,"5","GPC3"
"878",0,0.869340517641551,1,0.996,0,"5","RPL19"
"879",0,0.865660044576313,0.999,0.996,0,"5","RPS15A"
"880",0,0.862192515028578,0.69,0.354,0,"5","P4HA1"
"881",0,0.860399499722507,0.819,0.516,0,"5","TPM4"
"882",0,0.860247051380857,0.648,0.23,0,"5","PIK3R1"
"883",0,0.856417953160553,0.492,0.078,0,"5","ARHGAP29"
"884",0,0.852619246854451,0.595,0.1,0,"5","CDH11"
"885",0,0.847034952969635,0.999,0.987,0,"5","RACK1"
"886",0,0.844759796260374,0.311,0.004,0,"5","POSTN"
"887",0,0.844679483493507,0.448,0.101,0,"5","LRRC17"
"888",0,0.843428850326892,0.547,0.019,0,"5","FCGRT"
"889",0,0.842778668449761,0.675,0.267,0,"5","LMAN1"
"890",0,0.841771383861554,0.628,0.119,0,"5","WWTR1"
"891",9.66557735999389e-212,0.840909122820664,0.652,0.446,2.35772428542331e-207,"5","TPM1"
"892",0,0.839350386460032,1,0.995,0,"5","RPL27A"
"893",0,0.832316938336233,0.993,0.92,0,"5","RPL23A"
"894",0,0.831876168568299,1,0.998,0,"5","RPS28"
"895",0,0.831346776037255,1,0.999,0,"5","RPL13A"
"896",0,0.830112348177558,0.837,0.479,0,"5","PDIA3"
"897",0,0.82902687082312,1,0.989,0,"5","RPS20"
"898",0,0.82595584357407,0.526,0.053,0,"5","FBN2"
"899",0,0.819983341814538,0.605,0.123,0,"5","YBX3"
"900",0,0.817520273163166,0.998,0.988,0,"5","RPL14"
"901",0,2.54300622156157,0.764,0.113,0,"6","PDYN"
"902",0,2.53161605272077,0.946,0.194,0,"6","TAC1"
"903",0,2.49525116334588,0.943,0.212,0,"6","SYT4"
"904",0,2.27628226921104,0.986,0.462,0,"6","FOXP1"
"905",0,2.07021254052956,0.959,0.132,0,"6","EBF1"
"906",1.82483858697469e-273,2.06507818173421,0.589,0.379,4.45132876520736e-269,"6","MEG3"
"907",0,1.7271161989171,0.997,0.928,0,"6","PEG10"
"908",0,1.65030955255904,0.784,0.312,0,"6","NEFM"
"909",0,1.53862622800012,0.882,0.278,0,"6","CADM2"
"910",0,1.47718569924082,0.805,0.164,0,"6","PDE10A"
"911",0,1.37655844181164,0.829,0.296,0,"6","AC009041.2"
"912",0,1.36924490953878,0.771,0.244,0,"6","IGFBP5"
"913",0,1.36599839722472,0.922,0.453,0,"6","CNTNAP2"
"914",0,1.36461568155443,0.833,0.176,0,"6","PLK2"
"915",0,1.35529727853333,0.98,0.502,0,"6","PCSK1N"
"916",0,1.35432049162924,0.84,0.17,0,"6","NTRK3"
"917",0,1.29479133134664,0.952,0.378,0,"6","ANK3"
"918",0,1.25565912872537,0.925,0.532,0,"6","ENO2"
"919",0,1.22497627936714,0.731,0.055,0,"6","ISL1"
"920",0,1.22260048278349,0.966,0.475,0,"6","MAPT"
"921",0,1.19611442760143,0.98,0.648,0,"6","GAP43"
"922",0,1.1858841465427,0.965,0.621,0,"6","VCAN"
"923",0,1.17596113657363,0.835,0.539,0,"6","GPI"
"924",0,1.17050882495663,0.731,0.069,0,"6","GRIK2"
"925",0,1.16991826404983,0.627,0.197,0,"6","NEFL"
"926",0,1.15751297289611,0.926,0.435,0,"6","GNAO1"
"927",0,1.135798507566,0.865,0.301,0,"6","GRIN2B"
"928",0,1.13057115229032,0.847,0.337,0,"6","PPP2R2B"
"929",0,1.08668144301552,0.933,0.485,0,"6","BCL11B"
"930",0,1.08446358056688,0.743,0.16,0,"6","EPHB1"
"931",0,1.07029520403466,0.908,0.443,0,"6","PGM2L1"
"932",0,1.05910010384591,0.969,0.565,0,"6","RTN1"
"933",0,1.04620874615031,0.8,0.187,0,"6","ZNF503"
"934",0,1.04267329260285,0.65,0.117,0,"6","NPAS4"
"935",0,1.03003418489402,0.977,0.497,0,"6","NSG2"
"936",0,1.02989776894877,1,0.811,0,"6","STMN2"
"937",0,1.02071754893304,0.699,0.107,0,"6","KCTD16"
"938",0,0.997829012251369,0.747,0.202,0,"6","DACH1"
"939",0,0.991571957211763,0.864,0.448,0,"6","ROBO2"
"940",0,0.986745131342762,0.941,0.542,0,"6","ETFB"
"941",0,0.966476298774531,0.638,0.067,0,"6","SPHKAP"
"942",0,0.955092710172334,0.792,0.264,0,"6","PLXNA2"
"943",0,0.95365324665724,0.717,0.267,0,"6","EPHA4"
"944",0,0.948417125888838,0.834,0.297,0,"6","SCG5"
"945",0,0.946864969519652,0.917,0.469,0,"6","ZFHX3"
"946",0,0.922686282309452,0.707,0.192,0,"6","PCDH10"
"947",0,0.913108882829394,0.898,0.404,0,"6","CDKN2D"
"948",0,0.912451427959597,0.623,0.121,0,"6","GABRB2"
"949",0,0.909549194509831,0.703,0.165,0,"6","SLITRK6"
"950",0,0.908927336724972,0.856,0.384,0,"6","SRGAP1"
"951",1.23426933728558e-169,0.905320670729503,0.847,0.817,3.01075319444073e-165,"6","IGFBP2"
"952",0,0.904910138304468,0.971,0.666,0,"6","DPYSL3"
"953",0,0.900704166896132,0.97,0.614,0,"6","RBFOX2"
"954",0,0.89973392336217,0.825,0.282,0,"6","JPH4"
"955",0,0.892687676778617,0.681,0.223,0,"6","ARPP21"
"956",0,0.888504626899561,0.899,0.445,0,"6","INA"
"957",0,0.888136453829715,0.955,0.622,0,"6","KIF5C"
"958",0,0.885346137547818,0.898,0.485,0,"6","AUTS2"
"959",0,0.885066677150244,0.945,0.628,0,"6","CELF2"
"960",0,0.883138263026969,0.7,0.158,0,"6","GRM3"
"961",0,0.882442509899281,0.92,0.464,0,"6","NRXN1"
"962",0,0.882138597921705,0.815,0.457,0,"6","HMGCS1"
"963",0,0.877158346962648,0.565,0.096,0,"6","TENM2"
"964",0,0.873065256074571,0.679,0.329,0,"6","PCDH7"
"965",0,0.868862707059257,0.892,0.411,0,"6","NSG1"
"966",0,0.862815470044162,1,0.851,0,"6","DCX"
"967",0,0.85821927121053,0.744,0.253,0,"6","CTNND2"
"968",0,0.855326413092302,1,0.978,0,"6","MAP1B"
"969",0,0.855110887820651,0.867,0.419,0,"6","APLP1"
"970",4.55274065531019e-294,0.849240643438142,0.87,0.687,1.11055002804981e-289,"6","PGK1"
"971",0,0.844788312806939,0.714,0.16,0,"6","SYT5"
"972",0,0.829495901785991,0.976,0.771,0,"6","UCHL1"
"973",0,0.825771218145106,0.514,0.054,0,"6","RXRG"
"974",0,0.823167484933273,0.81,0.385,0,"6","THRA"
"975",0,0.820064965046377,0.851,0.344,0,"6","MYT1L"
"976",0,0.810074871336272,0.861,0.491,0,"6","ANK2"
"977",0,0.804964256821312,0.556,0.087,0,"6","PRKCB"
"978",0,0.796927857885787,0.942,0.596,0,"6","VAMP2"
